18,99662,139.38,0,0,0,1,241,67,1,-5529,36.5339516667,-87.3503116667,190459.0
18,99666,139.04,0,0,0,0,239,68,1,25625,36.5339533333,-87.3503133333,190502.0
17,99678,138.03,0,0,0,1,240,68,1,32269,36.5339533333,-87.350315,190505.0
13,99648,140.56,0,0,0,1,242,69,1,-29811,36.5339533333,-87.350315,190508.0
15,99658,139.72,-31,18,27,232,3,56,0,8679,36.5339533333,-87.3503133333,190511.0
21,99651,140.31,-22,13,29,229,248,80,1,-29505,36.53395,-87.35031,190514.0
24,99670,138.71,0,0,0,23,6,58,1,23775,36.5339466667,-87.3503083333,190517.0
25,99676,138.20,0,0,0,23,5,57,1,26046,36.5339483333,-87.3503083333,190520.0
25,99682,137.70,0,0,0,24,4,57,1,28506,36.5339733333,-87.350335,190523.0
25,99673,138.46,-2,0,0,23,3,58,1,30815,36.534075,-87.3503516667,190526.0
25,99670,138.71,0,0,0,25,4,57,1,-32472,36.5342,-87.35034,190529.0
25,99672,138.54,0,0,0,27,2,56,1,-30026,36.534235,-87.3504183333,190532.0
25,99660,139.55,0,0,0,20,6,59,1,-27750,36.5341516667,-87.3504316667,190535.0
25,99675,138.29,4,-4,9,27,11,52,1,-25288,36.5340033333,-87.35039,190538.0
25,99675,138.29,-8,8,-15,26,2,52,1,-22995,36.5337933333,-87.3503433333,190541.0
26,99678,138.03,-1,2,-3,10,253,66,1,-20730,36.5335483333,-87.3502666667,190544.0
26,99687,137.27,14,-13,29,10,4,63,1,-18284,36.53331,-87.3501833333,190547.0
26,99681,137.78,14,-14,28,25,15,52,1,-15988,36.53307,-87.3500883333,190550.0
26,99681,137.78,0,3,-3,20,13,55,1,-13550,36.5328166667,-87.349995,190553.0
26,99669,138.79,0,0,0,21,11,53,1,-11267,36.5328166667,-87.349995,190553.0
26,99657,139.81,0,2,1,24,4,59,1,-9011,36.5325833333,-87.3498966667,190556.0
26,99657,139.81,1,0,0,25,6,55,1,-6575,36.5325833333,-87.3498966667,190556.0
26,99657,139.81,0,0,0,25,5,57,1,-4299,36.53242,-87.3498566667,190602.0
26,99666,139.04,0,1,0,26,1,56,1,-1849,36.5324133333,-87.349885,190622.0
27,99678,138.03,0,0,0,28,253,56,1,430,36.532405,-87.3498783333,190630.0
27,99698,136.35,0,1,-1,27,252,57,1,2655,36.5326583333,-87.3476316667,190704.0
27,99674,138.37,0,0,0,26,5,55,1,4874,36.53276,-87.3471316667,190707.0
27,99686,137.36,0,0,0,26,5,55,1,7084,36.5328616667,-87.34664,190710.0
27,99686,137.36,0,0,0,27,6,55,1,9260,36.5329633333,-87.3461333333,190713.0
27,99692,136.85,0,0,0,26,5,55,1,24812,36.5330866667,-87.3456083333,190716.0
28,99689,137.10,0,0,0,26,4,57,1,31467,36.5330866667,-87.3456083333,190716.0
28,99566,147.49,0,0,0,24,6,52,1,-9621,36.5368366667,-87.338375,190759.0
28,99555,148.41,0,0,0,21,7,56,1,-7358,36.53718,-87.3380916667,190802.0
29,99555,148.41,0,0,0,23,4,56,1,-4927,36.5375716667,-87.3378583333,190805.0
29,99572,146.98,0,0,1,27,4,61,1,-2657,36.5379816667,-87.3376783333,190808.0
29,99599,144.70,-2,0,0,27,8,53,1,1760,36.5383933333,-87.33756,190811.0
29,99611,143.69,0,0,0,27,3,56,1,3987,36.5383933333,-87.33756,190811.0
29,99763,130.86,0,-1,1,21,7,57,1,-32309,36.5393516667,-87.3373633333,190817.0
29,99775,129.85,0,0,2,24,1,59,1,-30036,36.54077,-87.337065,190825.0
29,99795,128.17,-1,0,1,22,4,59,1,-27585,36.542405,-87.336745,190834.0
29,99828,125.39,0,0,2,23,7,56,1,-25316,36.5429266667,-87.336565,190837.0
29,99885,120.58,0,0,0,23,6,59,1,-20874,36.543435,-87.336345,190837.0
29,99912,118.31,0,0,0,24,4,59,1,-18663,36.5439416667,-87.3361133333,190840.0
29,99939,116.04,0,0,-1,25,5,56,1,-16491,36.5444483333,-87.33588,190843.0
29,99951,115.03,0,0,0,24,7,55,1,-9784,36.5444483333,-87.33588,190843.0
29,99945,115.53,0,2,-2,23,7,52,1,-5000,36.5455016667,-87.33537,190849.0
30,99945,115.53,0,2,-1,24,8,57,1,-2710,36.5479683333,-87.332425,190906.0
30,99927,117.05,0,1,0,21,6,55,1,-289,36.5483883333,-87.3318716667,190909.0
